cast,crew,date,link,playwright,playwright_formatted,playwright_formatted_long,poster_thumb_tag,run,season,title,type,venue,year_title
Eoin Buckley/Jake Leonard/Penny Bainbridge/Joe Hincks/Max Miller/Omid Faramarzi/Emma Kendall/Tom Tolond/Bernie Kerr/Niamh Caines/Lou Knapp/Daniella Finch/,Chris Trueman/Molly McGee/Daniel Stranks/Sam Osborne/Joanne Blunt/Sam Osborne/Joanne Blunt/Joseph Heil/Max Miller/Felix Taylor/Ollie Shortt/Olivia Rose French/Tom Proffitt/Beth Wilson/Jessica Millott/Rachel Connolly/Matt Standen/Darcey Graham/,2015-06-10,/years/14_15/rhinoceros/,Eugène Ionesco,by Eugène Ionesco,by Eugène Ionesco,<a href='/years/14_15/rhinoceros/'><img src='https://photos.smugmug.com/photos/i-r8xWsHz/0/7f18d79d/128x162/i-r8xWsHz-128x162.jpg' class='search-result-poster-thumb' alt='Rhinoceros poster' /></a>,10-13 June 2015,In House,Rhinoceros,show,New Theatre,2014-15
Wesley Nash/Tom Gladstone/Aimee Gaudin/Verity Spencer/Maddie Hardy/Ben Standish/John Bell/,Ben Williamson/Dina Elkordy/Cameron Walker/Joseph Heil/Nathan Penney/Harry Bridge/Harriet Lowe/Tom Tolond/Kati Hall/Ben Williamson/Maddie Hardy/Ben Williamson/,2015-04-29,/years/14_15/road/,Jim Cartwright,by Jim Cartwright,by Jim Cartwright,<a href='/years/14_15/road/'><img src='https://photos.smugmug.com/photos/i-kZ8TpVk/0/ac4db4d5/128x162/i-kZ8TpVk-128x162.jpg' class='search-result-poster-thumb' alt='Road poster' /></a>,29 April-2 May 2015,In House,Road,show,New Theatre,2014-15
Felicity Chilver/Sam Greenwood/Maddie Hardy/Page Phillips Harrington/Joe Hincks/Duncan McGillivray/Lizzie Frainier/Mike Bradley/Lou Knapp/Alice Richards/,Chris Trueman/Lara Cowler/Imogen Harrison/Dave Hanks/Darcey Graham/Harry Bridge/Joseph Heil/,2014-12-07,/years/14_15/the_adventures_of_anne_marie_de_bourbon/,Chris Trueman and Jack Solloway,by Chris Trueman and Jack Solloway,by Chris Trueman and Jack Solloway,<a href='/years/14_15/the_adventures_of_anne_marie_de_bourbon/'><img src='https://photos.smugmug.com/photos/i-MKz8ND5/0/d0feb13c/128x162/i-MKz8ND5-128x162.jpg' class='search-result-poster-thumb' alt='The Adventures of Anne Marie de Bourbon poster' /></a>,7-8 December 2014,Fringe,The Adventures of Anne Marie de Bourbon,show,New Theatre Studio A,2014-15
Daniel O'Connor/Wesley Nash/James Pardon/,Dina Elkordy/Maddie Hardy/Darcey Graham/Nathan Penney/,2015-06-01,/years/14_15/the_complete_works_of_shakespeare_abridged_/,Adam Long,by Adam Long,by Adam Long,<a href='/years/14_15/the_complete_works_of_shakespeare_abridged_/'><img src='https://photos.smugmug.com/photos/i-bGRKP9X/0/82080dfb/128x162/i-bGRKP9X-128x162.jpg' class='search-result-poster-thumb' alt='The Complete Works of William Shakespeare - Abridged poster' /></a>,1-2 June 2015,External,The Complete Works of William Shakespeare - Abridged,show,New Theatre,2014-15
Nick Gill/Chloe Bickford/Emily Brady/Will Berrington/,Tom Proffitt/Darcey Graham/Alba Bodi Garcia/Harry Bridge/Amy Naylor/James Fox/Emilie Brittain/Nick Jones/Harriet Lowe/Annette Coyle/Nyssa Comber/Darcey Graham/Maddie Hardy/Lou Knapp/Beth Mullen/Jake Leonard/Joanna Manning/Jess Lundholm/Lou Knapp/,2015-03-18,/years/14_15/the_glass_menagerie/,Tennessee Williams,by Tennessee Williams,by Tennessee Williams,<a href='/years/14_15/the_glass_menagerie/'><img src='https://photos.smugmug.com/photos/i-wKwD7pt/0/08020c10/128x162/i-wKwD7pt-128x162.jpg' class='search-result-poster-thumb' alt='The Glass Menagerie poster' /></a>,18-21 March 2015,In House,The Glass Menagerie,show,New Theatre,2014-15
Jess Lundholm/Emma Kendall/Feargal Murphy/Amy Brough-Aikin/,Sam Greenwood/Jessica McNamee/Carn Truscott/Lydia Smith/Alex Huntley/Joseph Heil/Eden Phillips Harrington/Nathan Penney/Wesley Nash/David Taylor/Louis Harris/Harry Bridge/Joanne Blunt/Lou Knapp/Darcey Graham/Omid Faramarzi/Lucia Choi/Joanna Manning/Alex Huntley/,2014-10-29,/years/14_15/the_infant/,Oliver Lansley,by Oliver Lansley,by Oliver Lansley,<a href='/years/14_15/the_infant/'><img src='https://photos.smugmug.com/photos/i-583KrF4/0/9f4cb54a/128x162/i-583KrF4-128x162.jpg' class='search-result-poster-thumb' alt='The Infant poster' /></a>,29 October-1 November 2014,In House,The Infant,show,New Theatre,2014-15
NA,NA,2015-02-11,/years/14_15/the_red_herrings_present_small_world/,null,Playwright Unknown,Playwright Unknown,<a href='/years/14_15/the_red_herrings_present_small_world/'><img src='https://photos.smugmug.com/photos/i-jNttcGX/0/fba53547/128x162/i-jNttcGX-128x162.jpg' class='search-result-poster-thumb' alt='The Red Herrings PresentSmall World poster' /></a>,11-14 February 2015,External,The Red Herrings PresentSmall World,show,New Theatre,2014-15
Nick Jeffrey/James Bentley/Amelia Gann/Wesley Nash/Diderik Ypma/Ben Standish/Libby Boyd/Nick Cain/,Ben Williamson/James Bentley/Hattie Edmunds/Daniel O'Connor/Tyler-Antonia Gordon/Joanne Blunt/Darcey Graham/Harry Bridge/Gilad Grant/Ben Williamson/James Bentley/Maddie Hardy/Nikki Hill/Laura Gallop/Dave Hanks/Ben Williamson/James Bentley/,2014-12-03,/years/14_15/the_ritual_slaughter_of_gorge_mastromas/,Dennis Kelly,by Dennis Kelly,by Dennis Kelly,<a href='/years/14_15/the_ritual_slaughter_of_gorge_mastromas/'><img src='https://photos.smugmug.com/photos/i-JsNXG5S/0/784b22de/128x162/i-JsNXG5S-128x162.jpg' class='search-result-poster-thumb' alt='The Ritual Slaughter of Gorge Mastromas poster' /></a>,3-6 December 2014,In House,The Ritual Slaughter of Gorge Mastromas,show,New Theatre,2014-15
Amy Brough-Aikin/James Roscow/Charlotte Kirkman/Emilie Brittain/Anna Scholes/Sasha Gibson/Gus Herbert/,Ben Hollands/Emily Brady/Nathan Penney/Darcey Graham/Harry Bridge/Joseph Heil/Jess Lundholm/Kathy Shepherd/Ben Hollands/Rachel Angeli/Niamh Caines/Emma Fearon/Darcey Graham/Emma Kendall/Max Miller/Lydia Smith/Beth Wilson/,2015-06-08,/years/14_15/the_toyland_murders/,Ben Hollands,by Ben Hollands,by Ben Hollands,<a href='/years/14_15/the_toyland_murders/'><img src='https://photos.smugmug.com/photos/i-VRZv846/0/33a43918/128x162/i-VRZv846-128x162.jpg' class='search-result-poster-thumb' alt='The Toyland Murders poster' /></a>,8-9 June 2015,Fringe,The Toyland Murders,show,Trent/Performing Arts Studio,2014-15
NA,NA,2015-06-19,/years/14_15/uon_improv_show/,null,Playwright Unknown,Playwright Unknown,<a href='/years/14_15/uon_improv_show/'><img src='https://photos.smugmug.com/photos/i-C5JRJNj/0/401a3f7b/128x162/i-C5JRJNj-128x162.png' class='search-result-poster-thumb' alt='UoN Improv Show poster' /></a>,19 June 2015,STUFF,UoN Improv Show,show,New Theatre,2014-15
NA,NA,2015-06-17,/years/14_15/urn_presents_acoustic_night/,null,Playwright Unknown,Playwright Unknown,<a href='/years/14_15/urn_presents_acoustic_night/'><img src='https://photos.smugmug.com/photos/i-C5JRJNj/0/401a3f7b/128x162/i-C5JRJNj-128x162.png' class='search-result-poster-thumb' alt='URN PresentsAcoustic Night poster' /></a>,17 June 2015,STUFF,URN PresentsAcoustic Night,show,New Theatre,2014-15
Beth Mullen/Harry Patte-Dobbs/Penny Bainbridge/Adam Edwards/Jessica Prew/James McGilloway/,Gary Berezin/Dina Elkordy/Joseph Heil/Joanna Manning/,2014-11-30,/years/14_15/whats_cooking/,Gary Berezin,by Gary Berezin,by Gary Berezin,<a href='/years/14_15/whats_cooking/'><img src='https://photos.smugmug.com/photos/i-7GCTQ6g/0/a6f4ea17/128x162/i-7GCTQ6g-128x162.jpg' class='search-result-poster-thumb' alt='What's Cooking? poster' /></a>,30 November-1 December 2014,Fringe,What's Cooking?,show,New Theatre Studio A,2014-15
Genevieve Cunnell/Jess Lundholm/Rachel Angeli/Lara Cowler/Sam Greenwood/Sam Peake/Kat Lewis/Alice Simmons/Boo Jackson/Chloe Grant/Iona Hampson/Lydia Dyer/Rachel Connolly/Sasha Gibson/,Page Phillips Harrington/Eden Phillips Harrington/Alix Gabaude/Lucy Price/Lucy Castle/Joanne Blunt/Nathan Penney/Joanna Manning/Joseph Heil/Adam Bergen/Dave Hanks/Tom Tolond/Tornike Koplatadze/Alice Kitchener/Andrea Alvarez/Darcey Graham/Sam Osborne/Adam Humphries/Andrea Alvarez/Mia Phillips Harrington/Virginia Moore/,2015-05-06,/years/14_15/women_of_troy/,Euripides,by Euripides,by Euripides; Translated by Don Taylor,<a href='/years/14_15/women_of_troy/'><img src='https://photos.smugmug.com/photos/i-xTfhZVs/0/68ad785e/128x162/i-xTfhZVs-128x162.jpg' class='search-result-poster-thumb' alt='Women of Troy poster' /></a>,6-9 May 2015,In House,Women of Troy,show,New Theatre,2014-15
Karl Rawsthorne/Bethany Ames/Niamh Caines/Will Berrington/Joe Hincks/Gary Berezin/,Miriam Dyberg-Tengroth/Tom Heath/Joanne Blunt/Amy Naylor/Beth Mullen/Tom Heath/Tom Heath/Will Berrington/,2015-05-11,/years/14_15/yours_and_mine/,Miriam Dyberg,by Miriam Dyberg,by Miriam Dyberg,<a href='/years/14_15/yours_and_mine/'><img src='https://photos.smugmug.com/photos/i-TKprCB4/0/dde7236c/128x162/i-TKprCB4-128x162.jpg' class='search-result-poster-thumb' alt='Yours and Mine poster' /></a>,11-12 May 2015,Fringe,Yours and Mine,show,New Theatre Studio A,2014-15
Harry Bradley/Nick Gill/Sasha Butler/Ben Standish/Lou Knapp/Chris Sharp-Paul/Joe Stanway/Louis Djalili/Hannah Brown/,Gus Herbert/Matt Standen/Tim Behrman/Hannah Kettle/Harry Bridge/Arthur Mckechnie/Joanne Blunt/Ben Woodford/Hannah Kettle/Harry Bridge/James Fox/Darcey Graham/Elis Edhem/Rachel Connolly/Aaron Tej/Max Miller/Joseph Heil/Nathan Penney/,2015-11-11,/years/15_16/a_view_from_the_bridge/,Arthur Miller,by Arthur Miller,by Arthur Miller,<a href='/years/15_16/a_view_from_the_bridge/'><img src='https://photos.smugmug.com/photos/i-vnHsrmX/0/249d42a2/128x162/i-vnHsrmX-128x162.jpg' class='search-result-poster-thumb' alt='A View From The Bridge poster' /></a>,11-14 November 2015,In House,A View From The Bridge,show,New Theatre,2015-16
NA,NA,2016-06-15,/years/15_16/aaron_calvert/,null,Playwright Unknown,Playwright Unknown,<a href='/years/15_16/aaron_calvert/'><img src='https://photos.smugmug.com/photos/i-k6zSXmF/0/d3959a21/128x162/i-k6zSXmF-128x162.jpg' class='search-result-poster-thumb' alt='Aaron Calvert - Decisions poster' /></a>,15 June 2016,STUFF,Aaron Calvert - Decisions,show,New Theatre,2015-16
Emilie Brittain/Gemma Burton/Georgie Brand/Rachel Connolly/Sasha Gibson/Jamie Watt/Pete Przyslo/Dave Porter/Miguel Barrulas/Luke Slater/,Ed Eggleton/Tom Heath/Maddie Stone/Rohanna Brown/Will Pimblett/Will Pimblett/Ollie Shortt/Emma Barber/Ben Woodford/James Fox/Adam Humphries/Joanna Manning/Charlotte Kirkman/Emily Dimino/Aneesa Kaleem/,2016-05-04,/years/15_16/accrington_pals/,Peter Whelan,by Peter Whelan,by Peter Whelan,<a href='/years/15_16/accrington_pals/'><img src='https://photos.smugmug.com/photos/i-zP52ZDf/0/404cee42/128x162/i-zP52ZDf-128x162.jpg' class='search-result-poster-thumb' alt='The Accrington Pals poster' /></a>,4-7 May 2016,In House,The Accrington Pals,show,New Theatre,2015-16
Rachel Angeli/,Emma White/Felicity Chilver/Lydia Kilbey/Miles Bardon/Joanne Blunt/Emma White/,2016-03-13,/years/15_16/ambergate_resevoir/,Emma White,by Emma White,by Emma White,<a href='/years/15_16/ambergate_resevoir/'><img src='https://photos.smugmug.com/photos/i-8gkppBh/0/d189854f/128x162/i-8gkppBh-128x162.jpg' class='search-result-poster-thumb' alt='Ambergate Resevoir poster' /></a>,13-14 March 2016,Fringe,Ambergate Resevoir,show,New Theatre Studio A,2015-16
Niamh Caines/Harry Pavlou/Arnaud Lacey/James Roscow/Izzy Miles/Jeremy Dunn/Omid Faramarzi/Max Miller/Charlotte Sanders/Gary Berezin/,James Fox/Joe Strickland/Louise Croft/Joanne Blunt/Luke Holder/James Fox/Rohanna Brown/Bessie Ephgrave/Alix Gabaude/Emily Sterling/Tom Proffitt/Lydia Smith/Laura Jayne Bateman/Ollie Shortt/Jack Adamson/Georgia Hamp/James Fox/Amy Summers/,2016-06-08,/years/15_16/and_then_there_were_none/,Agatha Christie,by Agatha Christie,by Agatha Christie,<a href='/years/15_16/and_then_there_were_none/'><img src='https://photos.smugmug.com/photos/i-7rPbkfn/0/e225022f/128x162/i-7rPbkfn-128x162.jpg' class='search-result-poster-thumb' alt='And Then There Were None poster' /></a>,8-11 June 2016,In House,And Then There Were None,show,New Theatre,2015-16
Nick Gill/Harry Bradley/Rachael Baines/Ben Dillon/,Ollie Shortt/Lydia Smith/Natalia Gonzalez Morales/Tom Selves/James Fox/Harry Bradley/,2016-02-24,/years/15_16/bull/,Mike Bartlett,by Mike Bartlett,by Mike Bartlett,<a href='/years/15_16/bull/'><img src='https://photos.smugmug.com/photos/i-H7ngRhN/0/621869b9/128x162/i-H7ngRhN-128x162.jpg' class='search-result-poster-thumb' alt='Bull poster' /></a>,24-27 February 2016,In House,Bull,show,New Theatre,2015-16
NA,NA,2016-01-20,/years/15_16/cash_on_delivery/,Michael Cooney,by Michael Cooney,by Michael Cooney,<a href='/years/15_16/cash_on_delivery/'><img src='https://photos.smugmug.com/photos/i-kZdHzDC/0/68b5ad93/128x162/i-kZdHzDC-128x162.jpg' class='search-result-poster-thumb' alt='Cash On Delivery poster' /></a>,20-23 January 2016,Postgrads,Cash On Delivery,show,New Theatre,2015-16
Jess Donn/Emma Summerton/Sasha Gibson/Charlotte Kirkman/Beth Summerfield/Becca Clee/Becca Jones/Emma Kendall/Lou Knapp/Maggie Dorling/Alix Gabaude/Iona Hampson/Alice Simmons/Ben Hollands/Miguel Barrulas/Andrew Houghton/Jake McGrath/Tom Proffitt/James Roscow/Ben Standish/Laura Jayne Bateman/Maddie Hardy/Niamh Caines/Gus Herbert/Will Berrington/Gary Berezin/Felicity Chilver/Matt Standen/Joe Strickland/Chris Trueman/James Curling/Joe Hincks/Max Miller/Darcey Graham/Tom Selves/Toby Stevens/Daniella Finch/Sam Peake/Arnaud Lacey/,Jake Leonard/Laura Jayne Bateman/Lydia Smith/Joanne Blunt/Rohanna Brown/Max Miller/,2016-06-03,/years/15_16/charity_gala/,null,Various Writers,Various Writers,<a href='/years/15_16/charity_gala/'><img src='https://photos.smugmug.com/photos/i-CNHsHLM/0/670fc1d1/128x162/i-CNHsHLM-128x162.jpg' class='search-result-poster-thumb' alt='Charity Gala poster' /></a>,3-4 June 2016,External,Charity Gala,show,New Theatre,2015-16
Ben Standish/Sophie Walton/,Gus Herbert/Matt Standen/Tom Selves/Sam Osborne/Max Miller/Harry Bradley/Omid Faramarzi/Jodie McDonald/,2016-06-06,/years/15_16/constellations/,Nick Payne,by Nick Payne,by Nick Payne,<a href='/years/15_16/constellations/'><img src='https://photos.smugmug.com/photos/i-KB8SNBr/0/232a500a/128x162/i-KB8SNBr-128x162.jpg' class='search-result-poster-thumb' alt='Constellations poster' /></a>,6-7 June 2016,Fringe,Constellations,show,Djanogly Theatre,2015-16
Ted Marriott/,Tom Proffitt/Ed Eggleton/Sam Osborne/David Taylor/Emma Barber/Max Miller/,2015-11-23,/years/15_16/dark_room/,Tom Proffitt,by Tom Proffitt,by Tom Proffitt,<a href='/years/15_16/dark_room/'><img src='https://photos.smugmug.com/photos/i-9QjpDXH/0/1737d708/128x162/i-9QjpDXH-128x162.jpg' class='search-result-poster-thumb' alt='Dark Room poster' /></a>,23-24 November 2015,Fringe,Dark Room,show,New Theatre Studio A,2015-16
Shannon Smith/Rachel Angeli/Natalia Gonzalez Morales/Aaron Tej/Lou Knapp/Nick Gill/,Harry Bradley/Tom Willis/Sam Layton/Joanne Blunt/Laura Jayne Bateman/Harry Bradley/,2016-04-25,/years/15_16/electric_nebraska/,Tom Willis,by Tom Willis,by Tom Willis,<a href='/years/15_16/electric_nebraska/'><img src='https://photos.smugmug.com/photos/i-h9Hqr2D/0/aa276aa1/128x162/i-h9Hqr2D-128x162.jpg' class='search-result-poster-thumb' alt='Electric Nebraska poster' /></a>,25-26 April 2016,Fringe,Electric Nebraska,show,New Theatre Studio A,2015-16
Miguel Barrulas/Alice Simmons/Ben Dillon/Robert Goodall/Darcey Graham/,Emily Sterling/Eden Phillips Harrington/Shannon Moffatt/Josh Mallalieu/Andrew Calverley/Joseph Heil/Nathan Penney/Beth Wilson/,2016-03-07,/years/15_16/flowers_for_algernon/,Daniel Keyes,by Daniel Keyes,by Daniel Keyes; Adapted by David Rogers,<a href='/years/15_16/flowers_for_algernon/'><img src='https://photos.smugmug.com/photos/i-mc5KfV7/0/6f11768a/128x162/i-mc5KfV7-128x162.jpg' class='search-result-poster-thumb' alt='Flowers For Algernon poster' /></a>,7-8 March 2016,Fringe,Flowers For Algernon,show,Sherwood Library,2015-16
Izzy Miles/Beth Angella/Abi Davies/Sam Edwards/Inga Becker-Mansen/Alessia Molteni/Joseph McGeehan/George Waring/Ronan Lee/Olivia Wilson/Georgina Brand/Ed Eggleton/Hugh O'Keefe/Beth Summerfield/Ranait Flanagan/Molly Fenton/Roberto Luzo/Grace O'Reagan/Hannah Slack/Anushka Singh/Taryn Read/Jens Lichter/Annabel Pahl/Jeremy Dunn/Hannah Stemp/Becki Jones/Ellie Chen/Karina Ennle/Hannah Brown/Joe Stanway/Janet Yang/Maddie Bownes/Nicolas Caballero/Charlotte Sanders/Rachel Angell/Scarlett Allen/Lucy Cornwell/Tim Behrman/Pete Przyslo/Ross Levy/Chrissy Courquin/Lily Pethou/Beth Higginson/Georgie Brand/Callum Walker/Rebecca Wheddan/Pamela Tickell/Lara Bellis/Jamie Watt/Isobel Davidson/Emily Harbottle/Sufia Chowdhury/Ben Dillon/Gemma Walton/Rosanna Nichols/Andrew Houghton/Georgia Miskelly/Gigi George/Katie Monk/Michael Booth/Vicky Lorriman/Samantha Karran/Maddy Strauss/Emma Palten/Arthur McKochrie/Laura Giles/Elis Edhem/Becca David/Katie Kamoa/Miguel Barrulas/Chris Smith/Emily Grant/Lucy Dinan/Anna Schmieding/Jaya Sharma/Ruby Wu/Jordan Allen/Francesca Gaporotto/Rachael Baines/Corah Pinnington/Ella Burns Robbins/Matteo Everett/Milan Jaspal/Mo Abatoyntes/Jess Aloe/Hannah-Beatrice Crew/Poppy Doran/Tobias Hunt/Ellie Sothcott/Kate Maguire/Rachel Towers/Avani Sharma/Rachel Foster/Frances Pringle/Mane Davtyan/Jamie Drew/Aasheesha Svinivesan/Tempestt Walsh/Sophie Walton/Shannon Moffatt/Arshia Jain/,Tom Selves/Tom Proffitt/Anna Scholes/Max Miller/Lou Knapp/Beth Wilson/Beth Mullen/Emma Fearon/Dina Elkordy/Anna Stubbs/Daniella Finch/Felicity Chilver/Sasha Gibson/Emilie Brittain/Charlotte Kirkman/Izzie Masters/Duncan McGillivray/Robert Goodall/Boo Jackson/Tom Heath/Ben Standish/Cameron Walker/Darcey Graham/Lara Cowler/Will Berrington/Nick Gill/Joe Strickland/Carn Truscott/Eden Phillips Harrington/Emily Sterling/Jake McGrath/Joe Hincks/Holly Gatfield/James Curling/Tom Tolond/James Roscow/Ian Sheard/Joanne Blunt/Emma Barber/Ben Woodford/,2015-10-05,/years/15_16/freshers_fringe/,null,Various Writers,Various Writers,<a href='/years/15_16/freshers_fringe/'><img src='https://photos.smugmug.com/photos/i-h8N65Xc/0/1b519b13/128x162/i-h8N65Xc-128x162.jpg' class='search-result-poster-thumb' alt='Freshers' Fringe poster' /></a>,5-6 October 2015,In House,Freshers' Fringe,show,New Theatre,2015-16
Rachel Connolly/Emma Summerton/Kate Maguire/Iona Hampson/,Boo Jackson/Tom Heath/Gwen Morris/Joseph Heil/Joseph Heil/Emily Dimino/Max Miller/Raquel Chambers/Simdi Obodosike/Katie Hayes/Tabitha Bennett/,2016-04-18,/years/15_16/hinged/,Boo Jackson and Tom Heath,by Boo Jackson and Tom Heath,by Boo Jackson and Tom Heath,<a href='/years/15_16/hinged/'><img src='https://photos.smugmug.com/photos/i-fFDqwMQ/0/219045ea/128x162/i-fFDqwMQ-128x162.jpg' class='search-result-poster-thumb' alt='Hinged poster' /></a>,18-19 April 2016,Fringe,Hinged,show,Lincoln Library,2015-16
NA,NA,2016-06-15,/years/15_16/i_keep_a_woman/,Alex Wells-King & Adam Willis,by Alex Wells-King & Adam Willis,by Alex Wells-King & Adam Willis,<a href='/years/15_16/i_keep_a_woman/'><img src='https://photos.smugmug.com/photos/i-4tBpkb6/0/56728f16/128x162/i-4tBpkb6-128x162.jpg' class='search-result-poster-thumb' alt='I Keep A Woman In My Flat Chained To A Radiator poster' /></a>,15 June 2016,STUFF,I Keep A Woman In My Flat Chained To A Radiator,show,New Theatre,2015-16
Laurence Cuthbert/Duncan McGillivray/Emilie Brittain/Daniella Finch/Joe Hincks/Tom Tolond/Beth Angella/Sasha Gibson/Cameron Walker/Izzie Masters/Bethany O'Brien/Jess Leppington/,Chris Trueman/Emma Kendall/Sam Osborne/Joanne Blunt/David Taylor/Arthur Mckechnie/Ollie Shortt/Jess Donn/Emily Sterling/Anna Scholes/Jake Leonard/Eden Phillips Harrington/Libby Boyd/Tom Proffitt/James Curling/Hayden Ashby/Emilie Brittain/Chris Trueman/Emma Kendall/Nathan Penney/Darcey Graham/Will Berrington/Tom Proffitt/Eden Phillips Harrington/Ed Eggleton/Charlotte Kirkman/Arnaud Lacey/Andrew Calverley/Mane Davtyan/Joanna Manning/Adam Humphries/James Fox/Rohanna Brown/Hannah Burne/Ben Woodford/,2015-12-02,/years/15_16/macbett/,Eugène Ionesco,by Eugène Ionesco,by Eugène Ionesco; Translated by Charles Marowitz,<a href='/years/15_16/macbett/'><img src='https://photos.smugmug.com/photos/i-rKRHmq7/0/9f570a0b/128x162/i-rKRHmq7-128x162.jpg' class='search-result-poster-thumb' alt='Macbett poster' /></a>,2-5 December 2015,In House,Macbett,show,New Theatre,2015-16
Joe Strickland/Almaz Rish/Sam Peake/Bernie Kerr/Ronan Lee/Charlie Jamieson/Maggie Dorling/Rachael Baines/Emma Summerton/Ben Dillon/Will Baglin/Maddy Strauss/Josh Mallalieu/Beth Wilson/Tom Willis/Jeremy Dunn/,Felicity Chilver/Debby Moore/Joanne Blunt/Joseph Heil/Ben Woodford/Morgan Whiting-Fawcett/Florence Sandford-Richardson/Elizabeth Sandford-Richardson/Simran Gill/Darcey Graham/Eleanor Walker/Daniella Finch/Nathan Penney/Tom Proffitt/Andrew Calverley/Adam Humphries/Will Berrington/Rohanna Brown/Mane Davtyan/Arthur Mckechnie/,2015-12-08,/years/15_16/master_and_margarita/,Mikhail Bulgakov,by Mikhail Bulgakov,by Mikhail Bulgakov; Adapted by Edward Kemp,<a href='/years/15_16/master_and_margarita/'><img src='https://photos.smugmug.com/photos/i-fgFWHzp/0/41706d65/128x162/i-fgFWHzp-128x162.jpg' class='search-result-poster-thumb' alt='The Master and Margarita poster' /></a>,8-11 December 2015,In House,The Master and Margarita,show,New Theatre,2015-16
Josh Battaliou/Beth Wilson/Libby Boyd/Arnaud Lacey/Elis Edhem/Lara Bellis/Emma Fearon/Michaela Green/Ella Hiscocks/Melina Paneris/Joe Strickland/Rachael Maltby/Jessica Millott/,Martin Berry/Laura Jayne Bateman/Lucy Price/Richard Statham/Jo James/Helen Fownes-Davies/Emma Williams/,2016-04-19,/years/15_16/oedipus_the_king/,Steven Berkoff,by Steven Berkoff,by Steven Berkoff,<a href='/years/15_16/oedipus_the_king/'><img src='https://photos.smugmug.com/photos/i-rHMcKS9/0/77a1cacf/128x162/i-rHMcKS9-128x162.jpg' class='search-result-poster-thumb' alt='Oedipus The King poster' /></a>,19-23 April 2016,Lakeside,Oedipus The King,show,Djanogly Theatre,2015-16
Ollie Shortt/Maggie Dorling/Michaela Green/Daniella Finch/Alice Simmons/Molly Fenton/Louis Djalili/Harry Pavlou/,Jessica Millott/Bessie Ephgrave/Mane Davtyan/James Fox/Tom Selves/Beth Wilson/Ella Hiscocks/James Fox/,2016-05-09,/years/15_16/out_of_wonderland/,Jess Millott,by Jess Millott,by Jess Millott,<a href='/years/15_16/out_of_wonderland/'><img src='https://photos.smugmug.com/photos/i-CkqsPr9/0/73eb2480/128x162/i-CkqsPr9-128x162.jpg' class='search-result-poster-thumb' alt='Out of Wonderland poster' /></a>,9-10 May 2016,Fringe,Out of Wonderland,show,New Theatre Studio A,2015-16
Anna Stubbs/Chloe Grant/Pete Przyslo/Harry Pavlou/Charlotte Sanders/Max Miller/Arnaud Lacey/Dina Elkordy/,Ollie Shortt/Lydia Smith/Jake Beach/Gus Herbert/Melina Paneris/James Fox/Emma Kendall/Ben Woodford/Nathan Penney/James Fox/Matt Standen/Elis Edhem/Shivani Gupta/Mane Davtyan/Sam Layton/Jess Donn/Andrew Calverley/Tom Selves/Darcey Graham/Joseph Heil/Emma Kendall/Aashna Malik/Tom Proffitt/Maddy Strauss/Emily Sterling/Sasha Gibson/Max Miller/Nathan Penney/Natalia Gonzalez Morales/,2015-10-28,/years/15_16/pornography/,Simon Stephens,by Simon Stephens,by Simon Stephens,<a href='/years/15_16/pornography/'><img src='https://photos.smugmug.com/photos/i-F5dMrKL/0/e6473a64/128x162/i-F5dMrKL-128x162.jpg' class='search-result-poster-thumb' alt='Pornography poster' /></a>,28-31 October 2015,In House,Pornography,show,New Theatre,2015-16
Libby Boyd/Bethany Ames/Charlotte Kirkman/Sophie Walton/Joe Caunce/,Will Berrington/Anna Scholes/Sam Edwards/Darcey Graham/Emma Fearon/Darcey Graham/Emma Fearon/Nathan Penney/Ross Brisk/Eden Phillips Harrington/Nikki Hill/Tom Selves/Emma Kendall/Arthur Mckechnie/James Fox/Ellie Webb/Dina Elkordy/Joanne Blunt/Ben Woodford/Rohanna Brown/Eden Phillips Harrington/Jodie Marley/Sarah Belshaw/Sara Anderson/Emma Kendall/Sasha Gibson/Shannon Moffatt/Will Berrington/Ben Hollands/,2015-11-04,/years/15_16/sex_cells/,Anna Longaretti,by Anna Longaretti,by Anna Longaretti,<a href='/years/15_16/sex_cells/'><img src='https://photos.smugmug.com/photos/i-GdV8Sqx/0/0f96a746/128x162/i-GdV8Sqx-128x162.jpg' class='search-result-poster-thumb' alt='Sex Cells poster' /></a>,4-7 November 2015,In House,Sex Cells,show,New Theatre,2015-16
Charlie Jamieson/Duncan McGillivray/Lara Cowler/Cameron Walker/Ted Marriott/,Liam McClelland/Rory O'Shea/Ronan Lee/Peri Ozkarapinar/Arthur Mckechnie/Harry Bridge/Darcey Graham/Joanne Blunt/Ben Woodford/Rohanna Brown/Elis Edhem/Jess Donn/Emily Dimino/Adam Humphries/Joanna Manning/Laura McMullin/Jens Lichter/Tom Proffitt/Michaela Green/Bethany Jones/Angharad Davies/Max Miller/,2016-04-27,/years/15_16/shopping_fing/,Mark Ravenhill,by Mark Ravenhill,by Mark Ravenhill,<a href='/years/15_16/shopping_fing/'><img src='https://photos.smugmug.com/photos/i-ZQBvr27/0/7cdf3294/128x162/i-ZQBvr27-128x162.jpg' class='search-result-poster-thumb' alt='Shopping & F***ing poster' /></a>,27-30 April 2016,In House,Shopping & F***ing,show,New Theatre,2015-16
